RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
LuLaauRĩm, "dreamlike / unreal atmosphere", VNN, ᙮ᓖ᙮ᓛᐤ᙮ᕇᒻ, ?
lumĩr, "life, life force, vitality", VN, ᓘᒦᕐ, ?
lumur'noh, "remains, corpse", VN+N, ᓘᒨᕐᐧᓇᒃ, ?
lunmif, "sleight of hand magic, magic tricks", NN, ᓘᓐᒥᕝ, ?
LunMit, "illusion show, stage production, {modern} movie", N+N, ᙮ᓘᓐ᙮ᒥᑦ, ?
lu'raaum, inhabited world, V+N, ᓘᐧᕌᐤᒻ, ?
lurĩm, "nature, natural world", VN, ᓘᕇᒻ, ?
lusaĩ, "plant, herb, greenery", VN, ᓘᓴᐃ, ?
{lu}saĩpĩf, "sprouts {esp. as food}", {V}NN, ᓘᓴᐃᐱᕝ, ?
lusaf, "{fresh green} leaves", VN, ᓘᓴᕝ, ?
lusei, "living star, {Earth neologism} planet", V+N, ᓘᓭᐤ, ?
LuTei, "life / life narrative / lifetime", V+N, ᙮ᓘ᙮ᑌᐤ, ?
Luth, "clamor, noise", N, ᙮ᓘᕪ, ?
luthrĩm, "argument, debate, dispute, raised voice", NN, ᓘᕪᕇᒻ, ?
mach, "stallion {Ei'Lirĩm dialect}", N, ᒪᒡ, 男
mama, "mama, mother", N, ᒪᒪ, ?
mar, "stallion", N, ᒪᕐ, 男
mən, "{gender-neutral, dialect} ordinary hnym", N, ᒣᓐ, ?
meparin, "plan, planning", V+N, ᒣᐸᕆᓐ, ?
Mĩ{f}Faĩ, "amulet, magic gem", NN, ᙮ᒦ{ᕝ}᙮ᕙᐄ, ?
MĩFen, "to-do", N(V), ᙮ᒦ᙮ᕓᓐ, ?
mĩfifĩm, "harmony, Harmony magic", N'+N, ᒦᕕᕖᒻ, 法友
MifRin, "technical / technological term", NN, ᙮ᒥᕝ᙮ᕇᓐ, ?
MĩfRĩm, "magical / arcane term", NN, ᙮ᒦᕝ᙮ᕇᒻ, ?
miftef, "technique", NN, ᒥᕝᑌᕝ, ?
miftefik, "magic 'trick', technique", NN', ᒥᕝᑌᕕᒃ, ?
mĩleh, bottle, NN, ᒦᓓᒃ, ?
mĩle{ts/ch}, "fish {more usually 'bilets'}", NN, ᒦᓓᒡ, ?
milim, cause/connection, VV', ᒥᓕᒻ, ?
Mĩl'raaum, "large sea / ocean", N+N, ᙮ᒦᓪᐧᕌᐤᒻ, ?
mĩm, "meme, {double-edged utterance}, branching word", N, ᒦᒻ, ?
mĩn, "mare", N, ᒥᓐ, 女
mĩrchoul, "skychariot, aircraft", NN, ᒦᕐᒍᐤᓪ, ?
mirem, act/action, VV', ᒥᕂᒻ, ?
mires, "rule, way of doing", VN, ᒥᕂᔅ, ?
MĩrFaĩ, diamond, NN, ᙮ᒦᕐ᙮ᕙᐄ, ?
mirĩt, "visible/public act/action", VN, ᒥᕇᑦ, ?
Mı̊rTaf, weather factory, NN, ᙮ᒦᐤᕐ᙮ᑕᕝ, ?
mı̊rtef, weathercraft, NN, ᒦᐤᕐᑌᕝ, ?
Mit, production/action, N, ᙮ᒥᑦ, ?
mitfelin, "business, association", NVN, ᒥᑦᕓᓕᓐ, ?
MitRĩm, "use-name, {conventional word for something}", NN, ᙮ᒥᑦ᙮ᕇᒻ , ?
mitsal, account / tab / obligation sheet, N, ᒥᑦᓴᓪ, ?
mityular, "operation, plan of action", NVN, ᒥᑦᔫᓚᕐ, ?
mitrelar, "itinerary, operation", NVN, ᒥᑦᕂᓚᕐ, ?
Muk, "obscuration / oblivion / darkness", N, ᒨᒃ, ?
Mur, "obscuration / death / expiry", N, ᒨᕐ, ?
naĩ'fĩres, made-up story that never happened, V+VN, ᓇᐄᐧᕖᕂᔅ, ?
naĩhĩm, "alone, lonely", VN, ᓇᐄᑮᒻ, ?
NaĩMur, "deathless, immortal", VN, ᙮ᓇᐄ᙮ᒨᕐ, ?
naĩrĩm, "despectrumed/depressed", VN, ᓇᐄᕇᒻ, ?
nan'yan, "east (direction)", NN, ᓇᓐᐧᔭᓐ, ?
nelap, "mouth {for drinking/eating}", VN, ᓀᓚᑉ, ?
nelim, desire, V', ᓀᓕᒻ, ?
Nem, "drink", N, ᙮ᓀᒻ, ?
nemqaf/NemQaf, "meal", NN, ᓀᒻᖄᕝ, ?
NemRĩm, "taste, savour {especially of a drink}", NN, ᙮ᓀᒻ᙮ᕇᒻ, ?
Nen, "flow", N, ᙮ᓀᓐ, ?
nenmĩl, "running water, creek", VN, ᓀᓐᒦᓪ, ?
NeQĩf, "dark magic, vile emotions", NN, ᙮ᓀ᙮ᖀᕝ, ?
Nif/Nĩf, darkness/Night, N, ᙮ᓂᕝ/᙮ᓃᕝ, 夜
nifeĩrĩm, "grief, sadness", NAN, ᓂᕓᐤᕇᒻ, ?
{niffĩt'}auref, "owl", ?, {ᓃᕝᕖᑦᐧ}ᐋᕂᕝ, ?
nĩfi'tsom, dark {fossil} coal, A+N, ᓃᕕᐧᒍᒻ, ?
niflĩr, thundercloud, NN, ᓂᕝᓕᕐ, ?
NĩfLĩr, "dark clouds / bad weather", NN, ᙮ᓂᕝ᙮ᓕᕐ, ?
NĩfMĩr, "bad weather", NN, ᙮ᓂᕝ᙮ᒦᕐ, ?
nifmol, "black ink, black paint", AN, ᓂᕝᒧᓪ, ?
NĩfNim, "despair / nightmare / horror", NN, ᙮ᓂᕝ᙮ᓂᒻ, ?
nifpik, pumpkin, NN, ᓂᕝᐱᒃ, ?
NifTak, "~hour {of the nighttime}", NN, ᙮ᓂᕝ᙮ᑕᒃ, ?
Ni{h}Pai, sedimentary rock, VN, ᙮ᓂ{ᒃ}᙮ᐸᐃ, ?
nim, "being, hnym (individual)", N, ᓂᒻ, {马/馬/?}
Nim, dream/confusion, N, ᙮ᓂᒻ, 夢
NimKor, confusion/delusion/madness, NN, ᙮ᓂᒻ᙮ᑯᕐ, ?
ni{'qu}kap, "'standing word', noun", VVN, ᓂ{ᐧᖂ}ᑲᑉ, ?
niref, bat, NN, ᓂᕂᕝ, ?
nirhĩr, pride/stubbornness, NN, ᓂᕐᑮᕐ, ?
NiRĩm, existence (experiential / subjective), VN, ᙮ᓂ᙮ᕇᒻ, ?
NiRin, existence (factual / objective), VN, ᙮ᓂ᙮ᕆᓐ, ?
NirKoRĩt, "deliberate evil, obstinacy", VNN, ᙮ᓂᕐ᙮ᑯ᙮ᕇᑦ, ?
ni{r}rĩm, pride {neutral / positive}, {V/N}N, ᓂ{ᕐ}ᕇᒻ, ?
nirroh, goat, NN, ᓂᕐᕈᒃ, ?
Nohit, "midriff, middle part of body", NA, ᙮ᓇᑭᑦ, ?
NohRĩm, "body-consciousness, horse-sense, *Terry Pratchett witchery", NN, ᙮ᓄᒃ᙮ᕇᒻ, ?
norim, "{chorı̊ma} even tone, reliability", PN+N, ᓄᕆᒻ, ?
osnar, "north + ?", ?, ᐅᔅᓇᕐ, ?
osnar'yan, "north (direction)", ?, ᐅᔅᓇᕐᐧᔭᓐ, ?
osh{fĩ/feĩ}mar, "elder brother", AVN, ᐅᔥ{ᕖ/ᕓᐤ}ᒪᕐ, ?
osh{fĩ/feĩ}mĩn, "elder sister", AVN, ᐅᔥ{ᕖ/ᕓᐤ}ᒦᓐ, ?
osla'pam, "pizza, flatbread", PnVs+N, ᐅᔅᓚᐧᐸᒻ, ?
oslar, "thin, flat/flexible", PnN, ᐅᔅᓚᕐ, ?
ospir, "narrow", PnN, ᐅᔅᐱᕐ, ?
ozhfĩc, "old / historical / antique book", AN, ᐅᔥᕖᒃ, ?
ozhfĩr, "history / long-past events", AN, ᐅᔥᕖᕐ, ?
Pah, "sand, loose soil", N, ᙮ᐸᒃ, ?
pahlit, "sandy landscape, desert, dunes", NN, ᐸᒃᓕᑦ, ?
Pai, rock/stone, N, ᙮ᐸᐃ, 石
paidoh, hard/solid, NV, ᐸᐃᑐᒃ, ?
PaiTar, "public humiliation, {originally} stone imprisonment, petrification", NN, ᙮ᐸᐃ᙮ᑕᕐ, ?
pamfih, "pancake, wheatcake", N, ᐸᒻᕕᒃ, ?
parhai, hayfries, VN, ᐸᕐᑲᐃ, ?
Pau, "power, explosion", N, ᙮{ᐹ/ᐸᐆ}, ?
pefmĩl, "acid, sour juice {?BEng}", VN, ᐯᕝᒦᓪ, ?
peĩf, fire, N, ᐯᐤᕝ, ?
peĩmĩl, "soup", VN, ᐯᐤᒦᓪ, ?
peĩmĩleh, "teapot", VNN, ᐯᐤᒦᓓᒃ, ?
peĩmol, "sauce, stew", VN, ᐯᐤᒧᓪ, ?
peĩmul, "stew, thick soup", VN, ᐯᐤᒨᓪ, ?
pĩf, seed/nut/core, N, ᐲᕝ, ?
pih, fruit/lump/seed, N, ᐱᒃ, ?
qalap, "mouth {for eating, colloquial}", VN, ᖄᓚᑉ, ?
qatei'res, "destiny, path, *calling, *highest excitement", VN+N, ᖄᑌᐤᐧᕂᔅ, ?
qĩm, "trio, triad, triple principle", N, ᖀᒻ, ?
qĩrĩm, "magical glow/aura (as with telekinesis)", VN, ᖀᕇᒻ, ?
qĩrin, "trinary logic", VN, ᖀᕆᓐ, ?
qĩrm, "unicorn horn (as used for channeling magic)", N, ᖀᕐ{ᒻ}, ?
qĩr'shi, "hornwriting", NN, ᖀᕐᐧᔑ, ?
qubĩm, "dependent morpheme, particle, stem", VN, ᖂᐲᒻ, ?
qufĩr, decision, V+N, ᖂᕖᕐ, ?
qukaf, "agglutinated word/phrase-segment", VN, ᖂᑲᕝ, ?
qukap, "{dictionary} word, part of speech", VS+N, ᖂᑲᑉ, 言分
qulap, "mouth {for speaking}", VN, ᖂᓚᑉ, ?
quleĩt, "compliment, speech in praise", VN, ᖂᓓᐤᑦ, ?
qulĩm, "mode of speech, saying, personal saying", VS+N, ᖂᓕᒻ, ?
qurem, "sentence, utterance", VN, ᖂᕂᒻ, ?
qurĩf, "eloquence, confidence", VN, ᖂᕇᕝ, ?
qurĩl, "paragraph, addendum", VN, ᖂᕇᓪ, ?
qurĩlĩm, "verse", VVN, ᖂᕇᓖᒻ, ?
qurĩm, poem/verse/invocation, VS+N, ᖂᕇᒻ, ?言唱
qushi, "letter/glyph esp phonetic", VS+N, ᖂᔑ, ?
qutir, "question", VV, ᖂᑎᕐ, ?
qutirĩm, "question", VVN, ᖂᑎᕇᒻ, ?
RaĩFĩm, "group where every friend is friends with every other friend", AN, ᙮ᕋᐄ᙮ᕖᒻ, ?
Raauchı̊f, "spectrum of consciousness", AN, ᙮ᕌᐤᒌᐤᕝ, ?
Raaulaaun, "{neologism} linear eternity, all of time", AN, ᙮ᕌᐤᓛᐤᓐ, ?
Raau{l}m, "the Realm, the All", A+., ᙮ᕌᐤ{ᓪ}ᒻ, 界
raaum, {far} domain/land, A+., ᕌᐤᒻ, ?
rau'fĩres, "story / course of events from a distant but plausibly existent realm", A+VN, ᕌᐧᕖᕂᔅ, ?
raĩchı̊f, rainbow, A+N, ᕌᐄᒌᐤᕝ, ?
rechetep, "path, sidewalk", VNN, ᕂᒉᑌᑉ, ?
rechoul/?retchoul, "cart, carriage, wheel", VN, ᕂ{ᑦ}ᒍᐤᓪ, ?
redohĩr, "directions {to a place}", VVN, ᕂᑐᑮᕐ, ?
ref, bird of prey, N, ᕂᕝ, ?
refĩr, "path / course of action", VN, ᕂᕖᕐ, ?
reĩbĩr, "carrot {prepared}", VN, ᕂᐤᐲᕐ, ?
ReiFĩm, celebration/presentation, N+N, ᙮ᕂᐤ᙮ᕖᒻ, ?
reimĩl, "(large) river", N+N, ᕂᐤᒦᓪ, ?
reĩmit, "renewal, reform", VN, ᕂᐤᒥᑦ, ?
reĩkiw, "carrot {root, plant}", VN, ᕂᐤᑭᔾ, ?
Reĩlaaum, "native land/region", VN, ᙮ᕂᐤᓛᐤᒻ, ?
ReiPam / ReiFĩmPam, cake, N{N}N, ᙮ᕂᐤ{᙮ᕖᒻ}ᐸᒻ, ?
reipanim, baker, NVN, ᕂᐤᐸᓂᒻ, ?
ReĩSei, "stars, starlight", ?, ᙮ᕃᐤ᙮ᓭᐤ, ?
ReĩTah, "~hour {of the early morning}", NN, ᙮ᕃᐤ᙮ᑕᒃ, ?
ReĩThai, "high tea, fancy tea", VN, ᙮ᕂᐤ᙮ᕦᐃ, ?
ReĩTsih, "quest, scheme, adventure", N+N, ᙮ᕃᐤ᙮ᒋᒃ, ?
relah, "door", VN, ᕂᓚᒃ, ?
rem, motion/movement, N, ᕂᒻ, ?
remif, "route / transport / itinerary / means of travel / vehicle", VN, ᕂᒥᕝ, ?
remĩl, stream / brook, VN, ᕂᒦᓪ, ?
re{'qu}kap, "'galloping word', verb", VVN, ᕂ{ᐧᖂ}ᑲᑉ, ?
res, "stright path, road, line", N, ᕂᔅ, ?
resal, "schedule sheet e.g. railway timetable", VN, ᕂᓴᓪ, ?
resh, "surface, plane", N, ᕂᔥ, ?
retal, "inn, waystation, train station", VN, ᕂᑕᓪ, ?
reyan, direction (of movement), VN, ᕂᔭᓐ, ?
Rĩchı̊f, rainbow/spectrum, VS+N, ᙮ᕇᒌᐤᕝ, 唱虹
RĩCyl, HĩrShi reading / furigana-style annotation, VN, ᙮ᕇ᙮ᓯᓪ, ?
rĩdow, voice, N, ᕇᑐᔾ, ?
RĩfZin, performance, NN, ᙮ᕇᕝ᙮ᓯᓐ, ?
rĩhĩreĩ, "recollection, rememberance", VVV, ᕇᑮᕂᐤ, ?
Riht, memory, N, ᕆᒃᑦ, ?
rĩ{k/}h, thought/idea, N, ᕇᒃ, ?
rĩleĩt, "complement, speech in praise", VN, ᕇᓓᐤᑦ, ?
RĩMif, rhetoric/eloquence, VN, ᙮ᕇ᙮ᒥᕝ, ?
RĩMĩf, incantation/poetry, VN, ᙮ᕇ᙮ᒦᕝ, ?
rĩmiftef, grammar, V+NN, ᕇᒥᕝᑌᕝ, ?
RĩMim, "insightful/wizardly evaluation, inscrutable/obscure utterance, multiply-interpretable utterance", VN, ᙮ᕇ᙮ᒦᒻ, ?
RĩMit, "conscious action / creation", NN, ᙮ᕇ᙮ᒥᑦ, ?
rĩmit'hnym, "businesslike/serious hnym", VN+N, ᕇᒥᑦᐧᑭᓂᒻ, ?
rin'shi, "written word / writing", N, ᕆᓐᐧᔑ, 理字
rikirĩm, intuition/recollection/nostalgia, VN, ᕇᑭᕇᒻ, ?
rı̊kirĩm, "intuition / recollection {of other timelines}", VN, ᕇᐤᑭᕇᒻ, ?
rikirin, thought/reasoning, VN, ᕇᑭᕆᓐ, ?
rĩshi, script/record, VS+N, ᕇᔑ, 唱字
rĩt, "voice, speech", N, ᕇᑦ, ?
Rĩt, "public speech / action", N, ᙮ᕇᑦ, ?
RĩTeif, "personality, self-expression", VN, ᙮ᕇ᙮ᑌᐤᕝ, ?
rĩudhei, "coffee, high-caffeine beverage", VN, ᕇᐆᕞᐤ, ?
rĩudhei'tal, "cafe, coffee shop", VN+N, ᕇᐆᕞᐤᐧᑕᓪ, ?
rı̊utef, "stunt / acrobatic flying maneuver", V+N, ᕇᐤᐆᑌᕝ, ?
riw, ear, N, ᕇᔾ, ?
Roh, "sentient quadruped {highly inclusive but slightly patronizing category}", N, ᙮ᕈᒃ, ?
rohĩ'nim, "sentient being {inclusive category}", V+N, ᕈᑮᐧᓂᒻ, ?
Ruĩ, dragon, N, ᙮ᕉᐄ, ?
sai, grass/herb, N, ᓴᐃ, 草
saifĩr, plant (usually excluding tree), NN, ᓴᐃᕖᕐ, ?
sailar, "rough coat / hair / bristle", NN, ᓴᐃᓚᕐ, ?
SaiLĩr, "grassy heights / hills / high pastures", NN, ᙮ᓴᐃ᙮ᓕᕐ, ?
sailit, "grassland, heath", NN, ᓴᐃᓕᑦ, ?
sailiw, "stomach", NN, ᓴᐃᓕᔾ, ?
SaiLon, "grassy heights / plateau", NN, ᙮ᓴᐃ᙮ᓗᓐ, ?
sailush, "wildflower", NN, ᓴᐃᓘᔥ, ?
SaiRĩf, "grassy plains / pastures", NN, ᙮ᓴᐃ᙮ᕇᕝ, ?
SaiRĩm, "greenery", NN, ᙮ᓴᐃ᙮ᕇᒻ, ?
sal, sheet/page, N, ᓴᓪ, ?
Sei, star, N, ᙮ᓭᐤ, ?
SeiMĩr, starry sky, NN, ᙮ᓭᐤ᙮ᒦᕐ, ?
sherchı̊f, "dusk/dawn orange colour", NN, ᔐᕐᒌᐤᕝ, ?
sherpih, "orange {fruit}", NN, ᔐᕐᐱᒃ, ?
SherShan, sparkle, ?, ᙮ᔐᕐ᙮ᔕᓐ, ?
shi, writing/glyph, N, ᔑ, 字
shifĩc, "notebook for writing, diary", VN, ᔑᕖᒃ, ?
shimol, "ink, writing ink", VN, ᔑᒧᓪ, ?
shinif, "black ink, writing ink", VN, ᔑᓂᕝ, ?
silar, "fuzz, soft coat", AN, ᓯᓚᕐ, ?
SiShi, "symbolic correspondence, multiversal resonance, *Mandela effect", NN, ᓯᔑ, ?
suwiri, squirrel, N, ᓲᔨᕆ, ?
Syl/cil, glyph/mark, N, ᓯᓪ, ?
syltichet, "keyboard with two-hoof layout", NNN, ᓯᓪᑎᒉᑦ, ?
sylyes, "typewriter", NN, ᓯᓪᔦᔅ, ?
SoMu, Windigoes, N+N, ᙮ᓱ᙮ᒨ, ?
Taauhit, "downtown, town centre", A+A, ᙮ᑖᐤᑭᑦ, ?
taaum, {this} town/community, A+., ᑖᐤᒻ, ?
TaauRĩm, "local atmosphere, hospitality", A+N, ᙮ᑖᐤ᙮ᕇᒻ, ?
Tairoun, "week", NN, ᙮ᑕᐃᕈᐤᓐ, ?
TafFĩr, "creative decision-making {under constraints}", V+N, ᙮ᑕᕝ᙮ᕖᕐ, ?
TahFĩr, "sacrifice, timeline discontinuity", V+N, ᙮ᑕᒃ᙮ᕖᕐ, ?
tahik, "nail, staple, spike", VN, ᑕᑭᒃ, ?
tahĩr, "responsibility, stewardship", VN, ᑕᑮᕐ, ?
tahĩr'hnym, "steward, proprietor, caretaker", VN+V, ᑕᑮᕐᐧᑭᓂᒻ, ?
tahĩrĩm, "vow, promise", VVN, ᑕᑮᕇᒻ, ?
tahkaf, "space between words, separator", VN, ᑕᒃᑲᕝ, ?
tahmir, "space between words", VN, ᑕᒃᒥᕐ, ?
TahShi, "separate HĩrShi", VN, ᙮ᑕᒃ᙮ᔑ, ?
TaiFeĩ, "evening, sunset", NN, ᙮ᑕᐃ᙮ᕓᐤ, ?
TaiLaau'fĩc{res}, "story / account aiming to be objective / factual / relevant", NN+NN, ᙮ᑕᐃ᙮ᓛᐤᐧᕖᒃ{ᕂᔅ}, ?
TaiLaauFĩr, "reality, waking life", NNN, ᙮ᑕᐃ᙮ᓛᐤ᙮ᕖᕐ, ?
TaiMĩr, "clear skies, good weather", NN, ᙮ᑕᐃ᙮ᒦᕐ, ?
TaiReĩ, "daybreak, sunrise", NN, ᙮ᕓᐤ᙮ᕂᐤ, ?
TaiRĩm, sunlight/sunsong, NN, ᙮ᑕᐃ᙮ᕇᒻ, ?日唱
TaiTah, "~hour {of the daytime}", NN, ᙮ᑕᐃ᙮ᑕᒃ, ?
taiyan, "west {direction; the sun heads that way}", NN, ᑕᐃᔭᓐ, ?
takien, "{emphatic} this day / {cf dakien} someday", PN+N, ᑕᑭᐁᓐ, ?
TaKor, division/isolation, NN, ᙮ᑕ᙮ᑯᕐ, ?
tak'qubĩm, "separate/choppy morphemes {grammar, e.g. TBD fĩc+chon=fĩc'chon}", V+VN, ᑕᒃᐧᖂᐲᒻ, ?
tarnoh, "bag/sack", VN, ᑌᕐᓄᒃ, ?
tatah'Rĩm, "choppy / hĩrin'rin-like intonation", VV+N, ᑕᑕᒃᐧ᙮ᕇᒻ, ?
{n}TauFĩm, "true friend {term of address}", .+AN, {ᓐ}᙮ᑖ᙮ᕖᒻ, ?
TauFĩr, perfect {outcome}, {A/N}, ᙮ᑖ᙮ᕖᕐ, ?
TauLeĩ, "innocence, innocent flourishing", AV, ᙮ᑖ᙮ᓓᐤ, ?
TauMĩfRĩm, "incantation, mantric 'forced proper' voice", ANN, ᙮ᑖ᙮ᒦᕝ᙮ᕇᒻ, ?
tau'qukap, "propered noun {grammar}", A+N, ᑖᐧᖂᑲᑉ, ?
TauRĩam, "propered {grammar}", A+V', ᙮ᑖ᙮ᕇᐊᒻ, ?
TauRĩm, "proper name, proper, properness {grammar}", AN, ᙮ᑖ᙮ᕇᒻ, ?
təcher, "arm", NN, ᑌᒉᕐ, ?
təchet, "forehoof", NN, ᑌᒉᑦ, ?
tefchir, "tiara, headdress", NN, ᑌᕝᒋᕐ, ?
tefdoh, "difficult {to understand/solve intellectually}, intellectual problem", NA, ᑌᕝᑐᒃ, ?
TefKets, "crazy", NN, ᙮ᑌᕝ᙮ᑫᒡ, ?
TefRĩm, "common sense, comprehension, clear thinking, {etc.}", NN, ᙮ᑌᕝ᙮ᕇᒻ, ?
Teichedh, "flank {esp. where the qatei'yoshi is visible}", NN, ᙮ᑌᐤᒉᕪ, ?
Teichĩf, "smile", NN, ᙮ᑌᐤᒌᕝ, ?
Teif, "face", N, ᙮ᑌᐤᕝ, ?
TeiFĩr, "{philosophical} tree of possibilities for a soul // {philosophical, neologism cf TSp} tree of souls", NN, ᙮ᑌᐤ᙮ᕖᕐ, ?
TeiHĩr, "personal path", NN, ᙮ᑌᐤ᙮ᑮᕐ, ?
TeiHĩrrh, "personal perspective on reality", NN, ᙮ᑌᐤ᙮ᑮᕐ{ᕐ}, ?
TeiIriBĩm, "TeiRĩBĩm with VCV structure {? connoting fundamental motions}", NVN, ᙮ᑌᐤ᙮ᐃᕆ᙮ᐲᒻ, ?
Teil, "legacy, lineage", N, ᙮ᑌᐤᓪ, ?
Teilah, "eyes", NN, ᙮ᑌᐤᓚᒃ, ?
Tei'lĩrĩm, "last name, Tei-category {for hĩrin}, soul-family", N+VN, ᙮ᑌᐤᐧᓖᕇᒻ, ?
Teilmĩn, daughter, NN, ᙮ᑌᐤᓪᒦᓐ, ?
Teilmar, son, NN, ᙮ᑌᐤᓪᒪᕐ, ?
Teilnim, "offspring, children", NN, ᙮ᑌᐤᓪᓂᒻ, ?
TeiNim, "celestial being / deity / self-aware oversoul", NN, ᙮ᑌᐤ᙮ᓂᒻ, ?
TeiReĩ, "to be born, to shine forth, to be resurrected/restored", NV, ᙮ᑌᐤ᙮ᕂᐤ, ?
TeiKienReĩ, "self-renewal, sincere reformation, resurrection", NNV, ᙮ᑌᐤ᙮ᑭᐁᓐ᙮ᕂᐤ, ?
Teir{f}, "identity, self-conception", N, ᙮ᑌᐤᕐ{ᕝ}, ?
TeiRĩf, "joy, active tranquility", NN, ᙮ᑌᐤ᙮ᕇᕝ, ?
teirĩm, name, NN, ᑌᐤᕇᒻ, ?
TeiRĩBĩm, "elementary true-name / core, commonly accepted alu'rĩm or Classical hĩrin'rin syllabic morpheme", NVN, ᙮ᑌᐤ᙮ᕇ᙮ᐲᒻ, ?
TeiRĩmBĩm, "TeiRĩBĩm esp. with CVC structure", NNN, ᙮ᑌᐤ᙮ᕇᒻ᙮ᐲᒻ, ?
TeiRĩuBĩm, "TeiRĩBĩm with CVV structure", NVN, ᙮ᑌᐤ᙮ᕇᐆ᙮ᐲᒻ, ?
TeiSo, "(higher) love", NN, ᙮ᑌᐤ᙮ᓱ, ?
Teiw, hearing, N, ᙮ᑌᐤᔾ, ?
təmĩf, "{unicorn} telekinesis", N, ᑌᒦᕝ, ?首法
Tef, "surface {hĩrin'rin}", N, ᙮ᑌᕝ, ?
telmar, "son", NN, ᑌᓪᒪᕐ, ?
telnim, "offspring, children", NN, ᑌᓪᓂᒻ, ?
Ten, rotation/revolution/precession {esp. spiritual/sidereal}, N, ᙮ᑌᓐ, ?
{Ten/Den}Fĩr, "timeline drift, timequake, *Mandela Effect", VN, ᙮ᑌᓐ᙮ᕖᕐ, ?
TenMit, "mechanical action / karma", NN, ᙮ᑌᓐ᙮ᒥᑦ, ?
tenoh, "back {familiar/slangy}", VN, ᑌᓄᒃ, ?
tep, "side, head {familiar/slangy}", N, ᙮ᑌᑉ, ?
tə{r}chedh, "shoulder", NN, ᑌ{ᕐ}ᒉᕪ, ?
tərchi'hit, "embrace, chest, {Earth neologism.} palm of a humanoid hand", NN+N, ᑌᕐᒋᐧᑭᑦ, ?
tərchim, "elbow", NN, ᑌᕐᒋᒻ, ?
tərhit, "chest just below neck", NN, ᑌᕐᑭᑦ, ?
tər'{hnym/nim}, "owner", NN, ᑌᕐᐧ{ᑭᓂᒻ/ᓂᒻ}, ?
tərlaaum, "real estate", VN, ᑌᕐᓛᐤᒻ, ?
tərlam, "property, real estate", VN, ᑌᕐᓚᒻ, ?
tərlap, "mouth {anatomical, for picking things up}, jaw", NN, ᑌᕐᓚᑉ, ?
tərliw, "chest, barrel", NN, ᑌᕐᓕᔾ, ?
termit, "property, possession", VN, ᑌᕐᒥᑦ, ?
tərnoh, "back", NN, ᑌᕐᓄᒃ, ?
tərplets, "fishing", VN, ᑌᕐᑉᓓᒡ, ?
tər'shi, "mouthwriting", NN, ᑌᕐᐧᔑ, ?
tərtaauf, "property, estate, territory", VN, ᑌᕐᑖᐤᕝ, ?
tərtaf'mit, "property, inheritance, holding", VN+N, ᑌᕐᑕᕝᐧᒥᑦ, ?
TesMĩl, "surf, choppy water", ?+N, ᙮ᑌᔅ᙮ᒦᓪ, ?
Tha{r/m}, "hearth", N, ᙮ᕦᕐ, ?
Ther, "heart", N, ᙮ᕞᕐ, 心
Therĩm, "song, {spontaneous} heartsong", N, ᙮ᕞᕇᒻ, 心唱
TherKetz, "bitter feeling, hatred", NN, ᙮ᕞᕐ᙮ᑫᒡ, ?
TherLaĩ, "joy", NN, ᙮ᕞᕐ᙮ᓚᐄ, ?
TherLeĩ, "hope", NN, ᙮ᕞᕐ᙮ᓓᐤ, ?
TherSo, "{romantic} love", N, ᙮ᕞᕐ᙮ᓱ, {心?}
Thul, "stillness, silence", N, ᙮ᕥᓪ, ?
tifres, "crossroads, cross", VN, ᑎᕝᕂᔅ, ?
ti{f}fĩr, "branching point, junction", VN, ᑎ{ᕝ}ᕖᕐ, ?
Ti{f}FĩrLaaun, "life milestone, event that could have gone differently", VNN, ᙮ᑎ{ᕝ}᙮ᕖᕐ᙮ᓛᐤᓐ, ?
tipam, "sandwich", Nc+N, ᑎᐸᒻ, ?
tirĩm, "question", VN, ᑎᕇᒻ, ?
tiw, "hearing, earshot", N, ᑎᔾ, ?
toko, "dog", N, ᑐᑯ, ?
tsel, "chill, cool, windy", {N/A}, ᒉᓪ, ?
tsih, "threshold, boundary", N, ᒋᒃ, ?
tsokar{b}, "cokale (alchemical coal, engine fuel)", ?NN, ᒍᑲᕐ{ᑉ}, ?
tsokarb'ReYe, steam train, ?NN+VN, ᒍᑲᕐᑉᐧ᙮ᕂ᙮ᔦ, ?
tsoluf, "dark smoke {esp. from coal}", VN, ᒍᓘᕝ, ?
tsom, coal (non-alchemical), N, ᒍᒻ, ?
ulapeĩmol, "jam, jelly, sweet preserve", AVN, ᐆᓚᐯᐤᒧᓪ, ?
ulasilpĩf, "powdered sugar", AAN, ᐆᓚᓯᓪᐲᕝ, ?
ulmar, father {dialectal}, P+N, ᐆᓪᒪᕐ, ?
ulmĩn, mother {dialectal}, P+N, ᐆᓪᒦᓐ, ?
umul, "milk", N, ᐆᒨᓪ, ?
urchedh, "plot, rear end", PN+N, ᐆᕐᒉᕪ, ?
urlaaum, "lower depths", P+N, ᐆᕐᓛᐤᒻ, {下?}
urlam, "lower part / ?basement", P+N, ᐆᕐᓚᒻ, {下?}
urlash, tail, N, ᐆᕐᓚᔥ, ?
uroh, "cow", N, ᐆᕈᒃ, ?
urtelaaum, "backyard", PN+N, ᐆᕐᑌᓛᐤᒻ, ?
